Topic,Count,Name,Representation,Representative_Docs
-1,3,-1_बलम_२०३०_अवसर_दशमलव,"['बलम', '२०३०', 'अवसर', 'दशमलव', '२०३५', 'भएअन', 'नसम', 'रतब', 'चलन', 'ओभर']","['जिल्ला चन्द्रपुर नगरपालिका कात्तिकेश कुँवर मेला सुरु सो मेला पाँच दिनसम्म चल्नेछ समाचकेवा पर्व अवसर लाग्ने सो मेला विसं २०३५ साल लाग्दै आएको सो पर्व अवसर आयोजना आएको सो मेला पूजाआजा मेला भर्न हजारौँ सर्वसाधारण भीड लाग्ने गर्दछ गत वर्ष झैँ वर्ष करिब ४० हजार हाराहारी मेला भर्न सर्वसाधारण आउने अपेक्षा मेला आयोजक समिति अध्यक्ष प्रमोद चौधरी मेला अवधिभर जुवा तास मदिरा बेचबिखन निषेध गर्नु साथै सुरक्षा व्यवस्था कडा पारिएको...', 'जर्मन सरकार सन् २०३० पेट्रोल डिजेल चल्ने गाडी प्रतिबन्ध लगाए जर्मनी संसद बुन्डेसर्याट ले पास गरेअनुसार सन् २०३० जर्मनी पेट्रोल डिजेल चल्ने इन्जिन आयात निर्यात बिक्री पाइने छैनन् जर्मनी बुन्डेसर्याट जर्मनी १६ राज्य प्रतिनिधित्व युरोपयिन युनियनमै नियम लागू जर्मनी बुन्डेसर्याट अनुरोध लागू हुनसक्ने सम्भावना विश्लेषकहरु भनाइ जर्मनी स्थानीय समाचारमाध्यम फोब्र्स उल्लेख भएअनुसार अबको १४ वर...', '\ufeffसामान्यतया क्रिकेट बाउन्ड्री चार रन चलन दौडिएर कसै रन लियो कसै पत्यार नलाग्न सक्छ नेपाल भारतबीच कोलम्बो भइरहे युथ–१९ एसिया कपमा यस्तै एउटा घटना भारतीय ब्याट्सम्यानद्धय शुबमान गिल हिमान्सु राणा जोडी नेपालविरूद्ध बलमा दौडिएर रन बनाए उनी सन्दीप सुनार बलमा दौडिएर रन १३ दशमलव ओभर सुनार फ्याँके बलमा राणा ब्याटिङ यति बेला चार रन बने ...']"
0,38,0_आइप_टबल_वकप_वजन,"['आइप', 'टबल', 'वकप', 'वजन', 'टनह', 'चरण', '२००२', 'नकआउट', 'दरब', 'करण']","['पहिलोपटक देश संयुक्त रुप प्रतियोगिता आयोजना लागे सन् २००२ विश्वकप प्रतियोगिता संयुक्त रुप आयोजना सन् २००२ जापान दक्षिण कोरिया संयुक्त रुप विश्वकप आयोजना विश्वकप फुटबल सन् २००६ जर्मनी सन् २०१० दक्षिण अफ्रि सन् २०१४ ब्राजिल आयोजना', 'सन् २०२६ विश्वकप फूटबल प्रतियोगिता क्यनाडा मेक्सि अमेरिका संयुक्त रुप आयोजना रसिया बसे विश्व फुटबल महासंघ फिफा बैठक मुलुक प्रतियोगिता आयोजना बाजी जिते मरक्को प्रतियोगिता आयोजना दाबेदारी प्रस्तुत प्रतियोगिता ८० खेल ६० खेल अमेरिका हुनेछ १० खेल क्यानडा १० खेल मेक्सिको आयोजना गर्नेछन् पहिलोपटक देश संयुक्त रुप प्रतियोगिता आयोजना लागे सन् २००२ विश्वकप प्रतियोगिता संयुक्त रुप आयोजना सन् २००२ जापान दक्षिण कोरिया संयुक्त रुप विश्वकप आयोजना विश्वकप फुटबल सन् २००६ जर्मनी सन् २०१० दक्षिण अफ्रि सन् २०१४ ब्राजिल आयोजना विश्वकप फुटबल यसपटक रसिया हुदैँछ सन् २०२२ विश्वकप फुटबल कतार आयोजना गर्दैछ', '\ufeffएप्पल बहुचर्चित प्रडक्ट आइप्याण्ड ह्याण्ड ग्याजेट दुनिया एकप्रकार क्रान्ति ल्यायो वर्ष सन् २०१० अपि्रल पहिलोपटक एप्पल पहिलोपटक आइप्याण्ड सार्वजनिक पहिलो आइप्याड अहिलेसम्म एप्पल विभिन्न प्रकार आइप्याड बजार ल्याइसके यहीँ वर्ष आइप्याड दशौँ संस्करण बजार ल्याउने योजना एप्पल एप्पल आइप्याण्ड अहिलेसम्म यात्रा यस्तो रह्यो पहिलो आइप्याड सन् २०१० जनवरी एप्पल सस्थापक स्टिभ जब्स पहिलो टचस्क्रिन आइप्याड सार्वजनिक उक्त आइप्याड स्क्रिन ९.७ इन्च एप्पलकै आइओएस अपरेटिङ सिस्टम चल्थ्यो यद्यपि यसको पहिलो बिक्रि अपि्रल सुरु आइप्याड टू मार्च २०११ सार्वजनिक आइप्याड टू निकै पातलो हल् पहिलो आइप्याड तुलना चलाउन सजिलो यसमा पहिलोपटक दुबैतर्फ क्यामरा तेश्रो संस्करण आइप्याड दोश्रो पुस्ता आइप्याण्ड एप्पल सन् २०१२ मार्च नयाँ आइप्याड ल्यायो जसमा रेटिना डिस्प् राखिए साथै एप्पल सिरी फोर जी फिचर समेत उक्त ट्याब्लेट चौथो संस्करण नोभेम्बर २०१२ सार्वजनिक आइप्याड चौथो संस्करण अघिल्लो तिब्र प्रोसेसर साथै अगाडि क्यामरा बढि शक्तिशाली उक्त आइप्याड कनेक्टिभिटी नयाँ लाइटनिङ केवल उपलब्ध आइप्याड मिनी बजार गुगल नेक्सस सेभेन अमेजेन किन्डर फायर जस्तो सानो स्त्रि वाला ट्याब्लेट आएसँगै एप्पल नोभेम्बर २०१२ मै आइप्याड मिनी सार्वजनिक गर्यो आइप्याड एयर सन् २०१३ नोभेम्बर सार्वजनिक आइप्याड एयर एप्पल सबैभन्दा हलु आइप्याड रुप जुन नयाँ चिप नयाँ रङमा उपलब्ध गराइयो आइप्याड मिनी टू सन् २०१३ कै नोभेम्बरमै अर्थात् आइप्याड मिनी सार्वजनिक वर्ष एप्पल मिनी दोश्रो संस्करण आइप्याड मिनी टू सार्वजनिक गर्यो यसमा रेटिना डिस्प् सेभेन प्रोसेसर आइप्याड एयर टू अक्टोबर २०१४ एप्पल एयर दोश्रो संस्करण ल्यायो यसमा डिजिटल फिंडरप्रिन्ट टच आइडी प्रविधि आइप्याण्ड सुनौलो रङमा उपलब्ध आइप्याड मिनी थ्री आइप्याड मिनी सफलता हौसिए एप्पल अक्टोबर २०१४ मै आइप्याड एयर थ्री सार्वजनिक गर्यो यसमा टच आइडी प्रविधि हुनु साथै अघिल्लो संस्करण प्रविधि प्रयोग']"
1,37,1_उनल_एयर_रहर_आएक,"['उनल', 'एयर', 'रहर', 'आएक', 'यसक', 'समय', 'नसक', 'आउन', 'एयरल', 'एमब']","['जनकपुर सिरहा लक्ष्मीपुर पतारी गाउँपालिका–४ निवासी ४० वर्षिया लिलादेवी साह महिने बच्चा चोरे आरोप शनिबार पक्राउ परिन् चार छोरी आमा लिला लाख रुपैयाँ खर्चेर भाडा चोर परिचालन गरी धनुषा कमला नगरपालि –३ पर्सा सात महिने दूधेबालक चोरे थिइन् बालक चोरे आरोप लीलासँगै सिरहा नगरपालि –१० नरहिया ३६ वर्षे दिलिपकुमार मण्डला धनुषा कमला नगरपालि –२ बस्ने ४१ वर्षीय राधाकृष्ण मण्डल पक्राउ परे चोरिए बालक सिरहा लक्ष्मीपुर पतारि लीलादेवी चार छोरी आमा पति वैदेशिक रोजगारी सिलसिला कतार पति कमाइ घरायसी अवस्था लिला परिवार समाज ठिकै आर्थिक हैसियत राख्छ छोरा नहुँदा पीडा छँदैछ छोरो जन्माउन उनले धार्मिक अनुष्ठान धामीझाँक्री चहारे सीप नलागे पछिल्लो वर्ष ज्यान फालेर छोरा प्राप्ति अभियान जुटिरहे थिइन् आफै जन्माउन नसके नक्कली छोरो भोक मेट्न उनले जतिसुकै मूल्य चुकाउन तयार निकटस्थ बुझ्न थाले करिब साढे आठ महिना सिरहा दिलीपकुमार मण्डल लिलाबीच नक्कली छोरा बन्दोबस्ती योजना बन्यो उनी दुवै दिल्लीतर्फ लागे दिल्ली अनाथ आश्रम सहजै बच्चा पाउने सूचना उनी पाए रहेछन् त्यहाँ पुगे करिब आठ महिनासम्म भएभर आश्रम चाहारे बच्चा पाउने सम्भावना देखेनन् अन्त्य दिल्ली नेपालमै बच्चा पाउन सजिलो महसुस गरेर फर्के सिरहा निवासी दुवैजना जयनगर आइपुगे सीमावर्ती भारतीय बजार जयनगर सिरहा नजिक उनी घर नगएर जनकपुर आइपुगे गत भदौ अन्तिम साता जनकपुर आइपुगे उनी सिरहा नजिकै धनुषा सीमा पर्ने कमला नगरपालिका व्यक्ति लक्ष्य सुनाए दिलीप मण्डल नजिक नाता पर्ने राधाकृष्ण मण्डल दिलीप सहयोग सम्भावित सहयोगी पहिचान सोहीक्रम भेटे कमला नगरपालि –३ पर्सा वीरे भन्ने वीरेन्द्र यादव लाख रुपैयाँ उपलब्ध गराए बच्चा व्यवस्था गरिदिने भने लीला वीरे साढे दुईलाख वीरे बच्चा ल्याउन सकेनन् असोज १२ गते राति करिब सवा १२ बजे आफ्नै घरको छतमाथि छोराछोरीसँगै सुतिरहे अवस्था सुनिता काखमै सुतिरहे सात महिने शोबन चोरिए जिल्ला प्रहरी कार्यालय एसपी चक्रबहादुर सिंह घटना अनुसन्धान सुरु सक्रिय खजुरी इला प्रहरी कार्यालय इन्चार्ज इन्स्पेक्टर होमप्रसाद अधिकारी वीरे गाउँकै व्यक्ति शोबन चोरी लिला सुम्पे भेटियो बालकछोरा हराए मिनेटमै सुनिता ब्यँझिन् ओछ्यान वरपर छोरा खोजिन् भेटिनन् छतबाट झरे हुनसक्ने शंका लाग्यो जनावर लग्यो कि भन्ने शंका लागेपछ चिच्याउन थालिन् टोलभर छरछिमेक जम् सबै सक्दो खोज्ने प्रयास कतै नभेटे बिहान नहुँदै पीडित परिवार इला प्रहरी कार्यालय खजुरी पुग्यो त्यहाँ औपचारिक उजुरी दियो प्रहरी देखाउनुपर्ने जस्तो गम्भिरता देखाएन छोरा गुमाए आमा छोरा जीवित रहेकोसम्म आशा राखे थिइन् छिमे जिल्ला आएर पाल्नकै छोरा चोरे अनुमान लाउन सक्ने आधार घटना करिब १० दिन बिते उनकै आशंका प्रहरी सोही गाउँ वीरे भन्ने वीरेन्द्र यादव नियन्त्रण लिए घटना अनुसन्धान साँघुरियो वीरेकै बयान आधार राधाकृष्ण मण्डल पक्राउ परे उसले भनेन प्रहरी दिलीप मण्डलबारे सुइँ पाए दिलीप पक्राउ पर्ने बित्तिकै धनुषा एंव सिरहा प्रहरी संयुक्त टोली लिला घरमै पुगे सात महिने शोबन सकुशल आमा जिम् लगाउन सफल धनुषा प्रहरी प्रमुख एसपी सिंह अहि वीरे शोबन चोर्न मुख्य भूमि निर्वाह धनुषाकै नगराइन नगरपालि झिझा बाला पासमान फरार सुरुमै पक्राउ परे वीरे प्रहरी मिलेमतोमै भगाए आरोप पीडितपक्ष प्रहरी घटना अनुसन्धान सुरुवात वीरे स्पष्ट संलग्नता नदेखिए तारेख राखेर अनुसन्धान बढाए खुले फरार जनाए', '\ufeff६ मंसिर काठमाडौं वर्ष जहाज उडाइसके गर्नुपर्ने नियमित परीक्षण बंगालादेश नोभो एयर युरोपेली अमेरि कम्पनी रोजेन सिंगापुर दक्षिण पूर्वी एसियाली मुलुक कम्पनी साझेदारी चाह्यो नोभो एटिआर ७२ जहाज नियमित परीक्षण गराउन रोज्यो नेपाली कम्पनी बुद्ध एयर बुद्ध बंगालादेशी कम्पनी प्रस्ताव स्वीकार्दै त्रिभुवन विमानस्थल हातास्थित आफ्नै अत्याधुनिक ह्याङ्गर परीक्षण मर्मत सेवा दियो १२ दिनभित्र परीक्षण मर्मत सक्ने समय सीमा दिइएको सात दिनमै नोभो जहाज फिर्ता पायो नोभोभन्दा अगाडी भुटान ड्रुक एयरल यस्तै खाले सेवा लिए भुटान ड्रुक काठमाडौं ल्याएर जहाज परीक्षण मर्मत गरायो नोभो ड्रुक पाइला पछ्याउदै बंगलादेशकै हेल्लो एयर एटिआर ४२ परीक्षण मर्मत सम्भार बुद्ध रोजिसके भारतीय कम्पनी समेत बुद्ध सेवा लिन चासो देखाउन थाले एयर इन्डिया भगिनी कम्पनी एलाइन्स एयर यस्तो सेवा लिने जनाउ बुद्ध दिइसके परीक्षण मर्मत दक्षिण एसियाली मुलुक विमान कम्पनी रोजाइ बुद्ध एयर मर्मत अन्तर्राष्ट्रियस्तर भइसके देखाउँछ त्यत्ति नेपाल मर्मत जहाज ल्याएर मनग्गे विदेशी मुद्रा आर्जन सम्भावना ढोका समेत खोले ‘हामी सस्तो दरमा अन्तर्राष्ट्रिय मापदण्ड अनुसार मर्मत सम्भार सक्षम बुद्ध एयर प्राविधिक सहायता विभाग वरिष्ठ इन्जिनियर सन्तोषकुमार खाती भन्छन् ‘एटिआर ४२ ७२ एवं बिचक्राफ्ट ९०० मर्मत सम्भार हामी विश्वस्तरीय प्रविधि उपकरण जनशक्ति ’बुद्ध एयर साता नेपाल सरकार कम्पनी जहाज मर्मत अनुमति पाइसके अनुमति अनसार उसले स्वदेशी विदेशी कम्पनी जहाज समेत मर्मत नियमित परीक्षण काम पाउँछ ‘हरेक कम्पनी जहाज निश्चित समय उडाइसके त्यस नियमित परीक्षण गर्नुपर्ने नियम हुन्छ खाती भन्छन् ‘त्यस्तो परीक्षण जहाज सम्भावित प्राविधिक गडबडी जोगाउ मद्दत गर्नु साथै कमजोरी भेटिए सुधार अवसर दिन्छ ’भिडियो हेर्नुस्वरिष्ठ इन्जिनियर खाती भन्छन् ‘एक जमाना नेपाल धान निर्यात गथ्र्यो नेपाली अपुग भएपछि बन्द भयो बेला नेपाली महको गन्तव्य युरोप अर्गानिक प्रमाणित नसके महको युरोप निकासी रोकियो हाल दैनिक हजार सय नेपाली विदेश अर्थात् नेपाल अहि कामदार निर्यात गरिरहे बुद्ध एयर कामदार हैन नेपाल जहाज मर्मत सेवा निर्यात थाले प्रसस्त मात्रा विदेशी मुद्रा आर्जन ढोका खोल्न सक्छ ’जहाज नियमति परीक्षण जहाँसुकै गरेर हुदैन सम्बन्धित मुलुक नागरिक उड्यान प्राधिकरण प्रमाणित मर्मत सेवा कम्पनीमार्फत गराउनु पर्छ बुद्ध एयर नेपाल नागरिक उड्यान प्राधिकरण यस्तो प्रमाणिकरण पाइसके भुटानी बंगलादेशी नागरिक उड्यान प्राधिकरण नेपाल नागरिक उड्यान प्राधिकरण प्रमाणिकरण मान्यता दिदै परीक्षण मर्मत अनुमति दिए त्यहा जहाज नेपाल मर्मत पाए बुद्ध एयर युरोप अमेरिका समेत यस्तो प्रमाणित गराए भविश्य विश्व जुनसुकै मुलुक जहाज मर्मत आउने सम्भावना त्रिभुवन अन्तर्राष्ट्रिय विमानस्थलभित्र बुद्ध एयर ह्याङ्गर अत्याधुनिक सुविधा सम्पन्न दक्षिण एसियाकै उत्कृष्ट मध्ये पर्ने ह्याङ्गर करिब २० करोड लगानी कम्पनी बनाए ह्याङ्गर एउटा ‘एटिआर ७२’ ‘एटिआर ४२’ एउटा ‘बिच १९०० डी’ जहाज सजिलै अटाउँछन् पर्याप्त प्रकाश आगलागी चेतावनी दिने प्रणालीयुक्त ह्याङ्गर अहि हेलिकप्टर समेत मर्मत हेलिकप्टर मर्मत बुद्ध एयर ह्याङ्गर स्थान उपलब्ध गराउदै आएको खाती बताउछन् विमान परीक्षण मर्मत नेपाल ल्याए आधा सस्तो पर्ने भएका भविष्य भारत म्यानमार कम्पनी समेत आफ्ना ग्राहक बनाउने योजना बुद्ध एयर युरोप अमेरिका तुलना सस्तो जहाज मर्मत सेवा उपलब्ध गराउने सिंगापुर नेपाल कम लागत पर्ने हुदा दक्षिण एसिया मुलुक गन्तव्य नेपाल हुनसक्छ सिंगापुर जहाज मर्मत कम्ति प्रतिव्यक्ति प्रतिघण्टा सय डलर खर्च लाग्छ नेपाल त्यस आधा खर्च मर्मत सम्भव सम्भवतः नेपाल जहाज मर्मत खर्च संसारकै सबैभन्दा सस्तो सरकार जहाज मर्मत प्रयोग पार्टपुर्जा भन्सार नलिने खर्च अझै कम हुनसक्छ विदेश मर्मत ल्याइए जहाज प्रयोग पार्टपुर्जा जडान गरिए विदेश र्फकने भएका त्यस भन्सार नलगाउन बुद्ध माग आएको ‘एयर साइड एरिया हवाई उड्यान क्षेत्र भन्साररहित हुनुपर्छ खाती भन्छन् ‘यो क्षेत्र भन्साररहित भएमा स्वदेशी विमान कम्पनी फस्टाउनेछन् विदेश मर्मत जहाज आउनेछन्', '\ufeffकाठमाडौं नेपाल उडान भर्दै आएका एयरलाइन्सहरु भूकम्प फ्लाइट संख्या कटौती नेपाल उडान भर्दै आएका अधिकांश विदेशी हवाइ सेवा प्रदायकहरु फ्लाइट घटाए भूकम्प नेपाल आउने पर्यटक संख्या कमी कारण फ्लाइट कटौती गर्नुपरे एयरलाइन्स नेपाल प्रतिनिधिहरु बताए &#39;नेपाल आउने टुरिस्ट फ्लो कम भूकम्प सबै टुर क्यान्सिल गरेका फ्लाइट घटाउनु परे &#39; चाइना साउदर्थन एयरलाइन्स सेल्स एण्ड रिजर्भेसन सुपरभाइजर धीरजचन्द्र श्रेष्ठ &#39;अहि बिजनेश यस्तो अवस्था फ्लाइट बढाउन सक्ने देखिँदैन &#39; हप्ता १४ वटा फ्लाइट आएको चाइना साउदर्न अहि फ्लाइट संख्या तीन झारे आगामी अक्टोबरसम्म फ्लाइट बढाउन नसक्ने आफू कम्पनी केन्द्रीय कार्यालय दिए उनले &#39;अक्टोबरसम्म फ्लाइट बढाउन सक्ने &#39; उनले &#39;अवस्था सामान्य भयो यात्रु बढे जुलाई चारवटासम्म बनाउन सकिन्छ &#39; हप्ता १४ वटा उडान भर्दै आएको कतार एयरवेज सात वटा झारे नेपाल उडान भर्ने अधिकांश उडान घटाइरहे बेला कतार एयरवेज उडान संख्या ५० प्रतिशत कटौती एयर एसिया उडान संख्या घटाए दैनिक एउटा उडान भर्दै आएको एयर एसिया भूकम्प हप्ता वटा झारे अहि उसले यसलाई घटाएर तीनवटा झारिए एयर एसिया नेपाल स्थित जिएसए इन्सेन्टिभ टुर्स एन्ड ट्राभल्स अध्यक्ष हरिमान लामा अहि एयर एसिया आइतबार मंगलबार विहीबार उडान भर्दै आएको उनले मलेशिया अहि कामदार भिसा दिए &#39; उनले &#39;पर्यटक भिसा मान्छे मात्रै हुन्छन् त्यसै उडान संख्या कटौती &#39; नेपाल दैनिक उडान भर्दै आएको मालिन्दो एयर आधा भन्& दा कटौती हप्ता सातवटा उडान भर्दै आएको मालिन्दो अहि तीनवटा झारे']"
